Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
213,0,0.021633,-0.127522,-1.807031,262.962311,-508.122681,180.79248
214,0,0.021369,-0.127602,-1.807165,262.962891,-508.111603,180.797089
215,0,0.021251,-0.128217,-1.806736,262.953491,-508.104218,180.797089
216,0,0.021117,-0.128035,-1.806914,262.957886,-508.088409,180.794144
217,0,0.020669,-0.128281,-1.806853,262.9534,-508.066956,180.795898
218,0,0.020359,-0.128686,-1.806993,262.94873,-508.047119,180.796066
219,0,0.020117,-0.129026,-1.806433,262.9888,-508.023071,180.805496
220,0,0.020526,-0.128597,-1.807272,262.999207,-507.98642,180.80336
221,0,0.019461,-0.128753,-1.807064,263.013733,-507.965271,180.810593
222,0,0.019135,-0.128922,-1.806946,263.021698,-507.94281,180.8116
223,0,0.018423,-0.129325,-1.807024,263.034271,-507.927246,180.820923
224,0,0.018143,-0.129373,-1.806967,263.042999,-507.912689,180.806503
225,0,0.017553,-0.129623,-1.806728,263.073578,-507.885986,180.820251
226,0,0.017911,-0.129734,-1.807524,263.093231,-507.852386,180.813004
227,0,0.017061,-0.129713,-1.807032,263.121826,-507.83725,180.822433
228,0,0.016651,-0.129846,-1.80715,263.12262,-507.817078,180.817978
229,0,0.015954,-0.129966,-1.806822,263.13501,-507.796417,180.816971
230,0,0.015667,-0.1298,-1.807445,263.150208,-507.785614,180.818008
231,0,0.015506,-0.129918,-1.80748,263.175079,-507.78479,180.820511
232,0,0.015234,-0.129482,-1.807729,263.186005,-507.771088,180.818115
233,0,0.014467,-0.129322,-1.807346,263.21463,-507.761597,180.824249
234,0,0.014525,-0.129319,-1.80736,263.236267,-507.744598,180.82103
235,0,0.01427,-0.129907,-1.806768,263.237152,-507.753082,180.819168
236,0,0.01362,-0.129082,-1.807241,263.244781,-507.75116,180.814896
237,0,0.01377,-0.129113,-1.807096,263.251617,-507.764282,180.806931
238,0,0.014053,-0.128844,-1.807413,263.251038,-507.773224,180.806564
239,0,0.013993,-0.129152,-1.807096,263.267303,-507.786682,180.804184
240,0,0.014098,-0.128854,-1.807148,263.268463,-507.791626,180.801239
241,0,0.014135,-0.128659,-1.807177,263.265625,-507.797241,180.806549
242,0,0.014099,-0.128369,-1.807082,263.266144,-507.817627,180.807938
243,0,0.014308,-0.128437,-1.806671,263.267609,-507.839966,180.800446
244,0,0.014949,-0.128004,-1.807086,263.253326,-507.866974,180.791489
245,0,0.015109,-0.127966,-1.80709,263.256897,-507.891418,180.789932
246,0,0.015806,-0.127686,-1.807048,263.239502,-507.90506,180.791138
247,0,0.015997,-0.127506,-1.806913,263.235596,-507.921448,180.792389
248,0,0.016376,-0.127391,-1.806584,263.219055,-507.944397,180.790436
249,0,0.016753,-0.127242,-1.806598,263.19931,-507.973602,180.788803
250,0,0.016713,-0.127417,-1.806402,263.192383,-508.00354,180.787628
251,0,0.017177,-0.127036,-1.80649,263.166168,-508.047699,180.780273
252,0,0.01777,-0.126755,-1.806795,263.144196,-508.054443,180.780624
253,0,0.018323,-0.126647,-1.8066,263.12738,-508.068787,180.779846
254,0,0.018853,-0.126966,-1.806437,263.109283,-508.077332,180.776978
255,0,0.018807,-0.12634,-1.806669,263.089142,-508.098602,180.778351
256,0,0.019439,-0.126539,-1.80677,263.073059,-508.118561,180.777847
257,0,0.019765,-0.126208,-1.806989,263.053864,-508.132111,180.7742
258,0,0.019917,-0.12686,-1.806573,263.038666,-508.146301,180.773102
259,0,0.020145,-0.126877,-1.806507,263.026489,-508.148071,180.781204
260,0,0.020489,-0.127178,-1.806893,262.995087,-508.155396,180.774353
